id,name,pred
002443.SZ,金洲管道,6
002448.SZ,中原内配,7
002451.SZ,摩恩电气,6
002452.SZ,长高电新,5
002453.SZ,华软科技,2
002454.SZ,松芝股份,7
002457.SZ,青龙管业,6
002458.SZ,益生股份,1
002459.SZ,晶澳科技,5
002463.SZ,沪电股份,6
002467.SZ,二六三,5
002469.SZ,三维化学,6
002476.SZ,宝莫股份,5
002478.SZ,常宝股份,6
002481.SZ,双塔食品,2
002483.SZ,润邦股份,6
002484.SZ,江海股份,6
002487.SZ,大金重工,7
002488.SZ,金固股份,1
002489.SZ,浙江永强,5
002494.SZ,华斯股份,1
002495.SZ,佳隆股份,7
002498.SZ,汉缆股份,7
002502.SZ,鼎龙文化,2
002507.SZ,涪陵榨菜,4
002508.SZ,老板电器,7
002513.SZ,蓝丰生化,2
002514.SZ,宝馨科技,5
002515.SZ,金字火腿,7
002516.SZ,旷达科技,5
002517.SZ,恺英网络,7
002518.SZ,科士达,6
002519.SZ,银河电子,5
002520.SZ,日发精机,2
002522.SZ,浙江众成,7
002523.SZ,天桥起重,5
002528.SZ,英飞拓,2
002530.SZ,金财互联,2
002532.SZ,天山铝业,7
002533.SZ,金杯电工,6
002536.SZ,飞龙股份,7
002537.SZ,海联金汇,5
002543.SZ,万和电气,7
002545.SZ,东方铁塔,7
002546.SZ,新联电子,5
002549.SZ,凯美特气,4
002550.SZ,千红制药,5
002552.SZ,宝鼎科技,6
002553.SZ,南方精工,5
002555.SZ,三七互娱,7
002558.SZ,巨人网络,7
002559.SZ,亚威股份,7
002560.SZ,通达股份,6
002561.SZ,徐家汇,5
002563.SZ,森马服饰,6
002566.SZ,益盛药业,5
002569.SZ,ST步森,1
002570.SZ,贝因美,7
002571.SZ,德力股份,1
002572.SZ,索菲亚,6
002575.SZ,群兴玩具,7
002576.SZ,通达动力,7
002577.SZ,雷柏科技,5
002578.SZ,闽发铝业,6
002579.SZ,中京电子,1
002580.SZ,圣阳股份,7
002584.SZ,西陇科学,7
002587.SZ,奥拓电子,7
002590.SZ,万安科技,5
002591.SZ,恒大高新,2
002592.SZ,ST八菱,2
002593.SZ,日上集团,6
002595.SZ,豪迈科技,6
002598.SZ,山东章鼓,6
002599.SZ,盛通股份,2
002600.SZ,领益智造,7
002602.SZ,世纪华通,7
002605.SZ,姚记科技,7
002606.SZ,大连电瓷,7
002609.SZ,捷顺科技,7
002611.SZ,东方精工,6
002613.SZ,北玻股份,7
002620.SZ,瑞和股份,2
002621.SZ,美吉姆,2
002622.SZ,皓宸医疗,2
002623.SZ,亚玛顿,7
002624.SZ,完美世界,6
002625.SZ,光启技术,7
002626.SZ,金达威,6
002629.SZ,仁智股份,4
002632.SZ,道明光学,7
002633.SZ,申科股份,2
002634.SZ,棒杰股份,5
002635.SZ,安洁科技,5
002636.SZ,金安国纪,7
002637.SZ,赞宇科技,7
002639.SZ,雪人股份,2
002642.SZ,荣联科技,6
002643.SZ,万润股份,6
002644.SZ,佛慈制药,5
002646.SZ,天佑德酒,5
002647.SZ,仁东控股,2
002650.SZ,加加食品,2
002651.SZ,利君股份,5
002652.SZ,扬子新材,2
002654.SZ,万润科技,2
002655.SZ,共达电声,7
002656.SZ,ST摩登,7
002660.SZ,茂硕电源,6
002664.SZ,信质集团,7
002666.SZ,德联集团,7
002667.SZ,鞍重股份,5
002669.SZ,康达新材,1
002671.SZ,龙泉股份,2
002674.SZ,兴业科技,7
002675.SZ,东诚药业,7
002676.SZ,顺威股份,5
002677.SZ,浙江美大,6
002678.SZ,珠江钢琴,5
002679.SZ,福建金森,7
002685.SZ,华东重机,2
002686.SZ,亿利达,5
002687.SZ,乔治白,7
002688.SZ,金河生物,5
002689.SZ,远大智能,2
002690.SZ,美亚光电,4
002691.SZ,冀凯股份,5
002692.SZ,ST远程,7
002693.SZ,双成药业,5
002694.SZ,顾地科技,1
002695.SZ,煌上煌,5
002696.SZ,百洋股份,7
002697.SZ,红旗连锁,6
002699.SZ,ST美盛,1
002700.SZ,ST浩源,2
002702.SZ,海欣食品,5
002703.SZ,浙江世宝,5
002705.SZ,新宝股份,7
002706.SZ,良信股份,6
002708.SZ,光洋股份,1
002712.SZ,思美传媒,6
002713.SZ,东易日盛,2
002715.SZ,登云股份,1
002718.SZ,友邦吊顶,2
002719.SZ,麦趣尔,2
002723.SZ,小崧股份,7
002724.SZ,海洋王,7
002725.SZ,跃岭股份,6
002729.SZ,好利科技,5
002730.SZ,电光科技,7
002731.SZ,萃华珠宝,7
002732.SZ,燕塘乳业,6
002735.SZ,王子新材,5
002737.SZ,葵花药业,6
002739.SZ,万达电影,2
002740.SZ,ST爱迪尔,2
002743.SZ,富煌钢构,7
002746.SZ,仙坛股份,7
002747.SZ,埃斯顿,7
002748.SZ,世龙实业,7
002750.SZ,龙津药业,5
002751.SZ,*ST易尚,2
002752.SZ,昇兴股份,7
002755.SZ,奥赛康,2
002757.SZ,南兴股份,7
002759.SZ,天际股份,6
002760.SZ,凤形股份,7
002762.SZ,金发拉比,5
002763.SZ,汇洁股份,7
002765.SZ,蓝黛科技,5
002767.SZ,先锋电子,5
002768.SZ,国恩股份,7
002769.SZ,普路通,7
002771.SZ,真视通,7
002774.SZ,快意电梯,5
002776.SZ,ST柏龙,2
002777.SZ,久远银海,5
002778.SZ,中晟高科,7
002779.SZ,中坚科技,7
002780.SZ,三夫户外,2
002782.SZ,可立克,5
002785.SZ,万里石,2
002786.SZ,银宝山新,2
002788.SZ,鹭燕医药,7
002790.SZ,瑞尔特,5
002791.SZ,坚朗五金,7
002792.SZ,通宇通讯,7
002795.SZ,永和智控,7
002796.SZ,世嘉科技,2
002799.SZ,环球印务,7
002800.SZ,天顺股份,7
002801.SZ,微光股份,4
002802.SZ,洪汇新材,5
002803.SZ,吉宏股份,5
002805.SZ,丰元股份,5
002808.SZ,恒久科技,2
002809.SZ,红墙股份,7
002810.SZ,山东赫达,7
002813.SZ,路畅科技,5
002816.SZ,和科达,2
002817.SZ,黄山胶囊,5
002818.SZ,富森美,6
002819.SZ,东方中科,5
002820.SZ,桂发祥,5
002821.SZ,凯莱英,4
002824.SZ,和胜股份,7
002825.SZ,纳尔股份,7
002826.SZ,易明医药,5
002827.SZ,高争民爆,5
002828.SZ,贝肯能源,2
002829.SZ,星网宇达,5
002830.SZ,名雕股份,7
002835.SZ,同为股份,7
002836.SZ,新宏泽,7
002837.SZ,英维克,5
002843.SZ,泰嘉股份,5
002845.SZ,同兴达,5
002847.SZ,盐津铺子,5
002848.SZ,高斯贝尔,2
002849.SZ,威星智能,7
002852.SZ,道道全,2
002853.SZ,皮阿诺,2
002855.SZ,捷荣技术,2
002856.SZ,美芝股份,2
002857.SZ,三晖电气,7
002858.SZ,力盛体育,5
002862.SZ,实丰文化,2
002866.SZ,传艺科技,5
002867.SZ,周大生,7
002868.SZ,绿康生化,1
002869.SZ,金溢科技,2
002870.SZ,香山股份,5
002871.SZ,伟隆股份,6
002872.SZ,ST天圣,2
002875.SZ,安奈儿,2
002876.SZ,三利谱,6
002878.SZ,元隆雅图,6
002879.SZ,长缆科技,5
002880.SZ,卫光生物,7
002881.SZ,美格智能,7
002882.SZ,金龙羽,5
002883.SZ,中设股份,5
002884.SZ,凌霄泵业,6
002885.SZ,京泉华,5
002886.SZ,沃特股份,5
002888.SZ,惠威科技,7
002889.SZ,东方嘉盛,7
002890.SZ,弘宇股份,7
002892.SZ,科力尔,7
002897.SZ,意华股份,7
002898.SZ,赛隆药业,5
002899.SZ,英派斯,7
002900.SZ,哈三联,2
002901.SZ,大博医疗,7
002902.SZ,铭普光磁,5
