X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
688153.SH,唯捷创芯-U,,制造业,-277.2234739,0.14,2.236801776,29.67696596,0,0,0,0,0,0,0,0
688155.SH,先惠技术,,制造业,-145.0333626,-1.23,-8.082996992,20.66055254,0,0,0,0,0,0,0,0
688156.SH,路德环境,,水利、环境和公共设施管理业,52.20942356,0.27,3.171224326,36.61631725,0,0,0,0,0,0,0,0
688157.SH,松井股份,,制造业,78.01159136,1.05,6.76408938,50.92541119,10.396798,1.116031545,84.05018153,6.753438319,4.09312281,6.203611527,-14.51384038,0
688158.SH,优刻得-W,,信息传输、软件和信息技术服务业,-11.73100365,-0.92,-14.6462641,5.874884996,0,0,0,0,0,0,0,0
688159.SH,有方科技,,制造业,-49.54939894,-0.64,-7.361207013,13.87750528,0,0,0,0,0,0,0,0
688160.SH,步科股份,,制造业,29.19482565,1.08,13.27567524,36.5850944,18.69602558,1.229952173,90.16831067,4.908781063,2.87389963,4.066168592,21.39894,0
688161.SH,威高骨科,,制造业,32.70683402,1.36,11.57647814,77.81869518,15.32594077,1.180999245,87.11907332,6.504274481,3.404492425,5.647241588,-21.33183136,0
688162.SH,巨一科技,,制造业,67.21621167,1.08,5.851096983,18.15110701,65.25276398,2.877926749,97.51728765,1.40858808,0.353693307,0.67682221,13.69020913,0
688163.SH,赛伦生物,,制造业,34.01648094,0.63,8.603523239,83.71318054,3.591910997,1.037257361,64.32316547,37.10405541,34.73322206,35.07465898,-16.14348923,0
688165.SH,埃夫特-U,,制造业,-20.18809122,-0.34,-9.772034792,8.439983908,0,0,0,0,0,0,0,0
688167.SH,炬光科技,,制造业,71.21513745,1.41,5.332559155,53.79177578,0,0,0,0,0,0,0,0
688168.SH,安博通,,信息传输、软件和信息技术服务业,332.0088491,-0.12,-0.749117602,58.9139339,0,0,0,0,0,0,0,0
688169.SH,石头科技,,制造业,18.69775024,12.75,13.21355425,48.25657651,0,0,0,0,0,0,0,0
688170.SH,德龙激光,,制造业,67.01538386,0.71,7.135516598,50.10595811,0,0,0,0,0,0,0,0
688171.SH,纬德信息,,信息传输、软件和信息技术服务业,36.54354127,0.47,6.905346688,41.85423856,0,0,0,0,0,0,0,0
688172.SH,燕东微,,制造业,35.00873878,0.45,3.776701397,44.64079716,0,0,0,0,0,0,0,0
688173.SH,希荻微,,信息传输、软件和信息技术服务业,492.6343095,-0.04,-1.331461845,52.72862552,7.844426681,1.085121566,80.12057672,14.83180489,12.74871539,13.30465038,-159.0825695,0
688175.SH,高凌信息,,制造业,28.91111369,0.99,6.801239703,53.33361634,0,0,0,0,0,0,0,0
688176.SH,亚虹医药-U,,制造业,-28.34069805,-0.43,-8.52721863,70.47750882,3.583407175,1.037165876,78.33062918,34.21696552,33.94693475,34.18237511,-4.956108767,0
688177.SH,百奥泰,,制造业,-145.7893479,-1.11,-24.7875384,81.93840959,0,0,0,0,0,0,0,0
688178.SH,万德斯,,水利、环境和公共设施管理业,28.19880454,0.26,1.810530874,27.65605578,0,0,0,0,0,0,0,0
