X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
16,制造业,72.4622,0.3588,15.5377,35.5788,25.8094,1.3479,94.815,2.3223,1.0556,1.5552,55.3525,37.27498061
15,制造业,-6.5983,0.550152756,5.553029823,13.067,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,56.5665
19,房地产业,8.2227,0.087504598,-0.53828046,18.0589,33.96739885,1.995166667,34.68559655,0.905643678,0.192041379,0.31747931,-9.214840476,56.9039
18,电力、热力、燃气及水生产和供应业,12.239,0.51,9.6317,33.1023,58.6311,2.4173,24.8513,1.897,0.9717,1.8877,13.0172,52.1983
17,制造业,26.945,0.14,2.3562,2.8524,29.44,1.4172,95.9571,1.7796,1.1061,1.3982,-70.7186,56.1552
17,电力、热力、燃气及水生产和供应业,23.6032,0.155298824,3.065568235,46.7829,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,64.4014
17,制造业,-21.7207,0.550152756,5.553029823,2.793,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,65.4525
18,信息传输、软件和信息技术服务业,-120.9935,0.253428261,1.808236264,14.5926,25.67443152,1.210713043,47.00573587,1.151855435,0.508903261,0.98741413,-25.36979457,35.07653587
19,电力、热力、燃气及水生产和供应业,13.5774,1.9,36.0609,14.4821,62.1416,2.6414,57.5033,0.7969,0.1903,0.7472,-0.4503,50.2938
15,农、林、牧、渔业,144.3884,0.192194737,3.296915789,12.8426,17.96084211,0.781642105,26.34728421,0.579857895,0.324747368,0.392784211,29.68477368,34.76342632
18,制造业,20.6257,2.48,15.1666,56.2694,35.3554,1.5469,90.4408,1.3823,0.3632,1.0942,18.985,46.2309
19,制造业,12.2491,0.550152756,5.553029823,23.3532,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,42.1709
19,电力、热力、燃气及水生产和供应业,12.0411,0.155298824,3.065568235,48.1294,36.29213529,1.652371765,27.59894941,0.507624706,0.215131765,0.458296471,0.783194048,60.0895
17,制造业,31.3683,2,15.5045,59.6559,24.4467,1.3236,84.6382,2.886,0.525,2.5388,21.312,37.27498061
19,金融业,4.0418,0.69,10.1963,3.448749091,92.1172,12.6858,4.877415455,0.083532727,0.044989091,0.082946364,6.9241,49.5335
19,制造业,4.6078,0.9233,13.3794,11.6082,51.882,2.0782,80.5145,1.1667,0.2524,0.9215,-26.6809,54.0909
17,制造业,54.079,0.550152756,5.553029823,21.4315,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
17,制造业,49.6526,0.550152756,5.553029823,10.384,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,129.2947
17,建筑业,-9.2796,-0.39,-21.3815,2.2782,64.7295,2.8352,88.8253,1.2769,0.1188,1.2543,-123.4371,61.3136
7,制造业,117.5218,0.550152756,5.553029823,11.1386,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,58.0583
18,制造业,25.3787,0.7529,7.7864,19.6672,42.4663,1.7381,98.0343,1.9913,0.4686,1.6359,13.1058,56.8802
17,信息传输、软件和信息技术服务业,41.153,0.6504,9.545,21.055,71.6712,3.53,92.0752,1.174,0.2343,0.882,2.1266,50.9302
17,制造业,17.4402,0.24,5.2712,35.2473,33.2426,1.498,96.5299,1.3561,0.6989,1.21,-35.6441,37.27498061
17,制造业,12.2938,0.21,12.3414,6.2628,53.0831,2.1314,91.3078,1.1833,0.3383,0.8073,28.4217,48.7589
17,制造业,18.8342,1.39,15.306,15.5875,59.5218,2.4705,74.8923,1.2328,0.4266,0.8915,27.2105,68.7493
17,信息传输、软件和信息技术服务业,46.2953,0.253428261,1.808236264,39.0986,25.67443152,1.210713043,47.00573587,1.151855435,0.508903261,0.98741413,-25.36979457,53.428
18,制造业,-252.4566,0.1425,3.5158,9.0687,52.0433,2.0852,90.713,1.5972,0.8001,1.4192,-22.8576,43.8223
16,制造业,31.875,0.550152756,5.553029823,44.342,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
19,金融业,16.1181,0.701792727,5.932898182,3.448749091,57.34912091,5.626801818,4.877415455,0.083532727,0.044989091,0.082946364,-18.33613545,71.7007
16,制造业,156.6921,0.550152756,5.553029823,10.8624,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
10,采矿业,276.7478,0.024,6.492,7.857,89.5684,9.5863,97.9173,0.5852,0.0294,0.5673,157.974,53.1226
16,制造业,70.6915,0.34,9.2559,45.9317,50.4192,2.0169,29.8711,3.3601,2.0613,2.7588,39.0885,52.0547
15,制造业,29.0256,0.73,6.2204,23.1087,15.371,1.1816,82.4754,4.7621,3.041,4.0219,-39.0225,37.27498061
17,制造业,-17.0247,-0.56,-12.4568,4.5132,56.6638,2.3075,67.1333,1.4933,0.6485,1.4013,-698.9117,61.4406
18,制造业,4.877,5.31,34.0858,38.062,48.7287,1.9504,52.5429,0.8702,0.4497,0.6336,43.5708,52.4235
17,制造业,12.9059,0.550152756,5.553029823,22.6816,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,70.2676
18,制造业,32.619,0.550152756,5.553029823,61.875,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,58.3129
17,信息传输、软件和信息技术服务业,-80.5615,0.0174,0.295,40.6004,69.3885,3.2668,75.5556,1.1506,0.0729,1.0996,122.4848,42.6749
12,制造业,46.1736,0.550152756,5.553029823,47.2243,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,77.8275
16,制造业,12.6307,0.63,8.7102,8.862,25.1393,1.3358,95.7027,2.3645,1.2798,2.2377,-40.8861,37.27498061
17,制造业,7.1951,2.229,46.6106,28.5508,36.9729,1.5866,77.0994,1.9746,0.8615,1.437,255.5838,61.1229
