X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
002468.SZ,申通快递,18,交通运输、仓储和邮政业,-34.3419,0,0,4.0599,0,0,0,0,0,0,0,60.9466
002556.SZ,辉隆股份,18,批发和零售业,14.5539,0,0,8.7729,0,0,0,0,0,0,0,46.5581
002589.SZ,瑞康医药,18,批发和零售业,92.8490,0,0,17.5225,0,0,0,0,0,0,0,56.4305
002601.SZ,龙佰集团,18,制造业,11.2524,0,0,35.2530,0,0,0,0,0,0,0,63.0204
002603.SZ,以岭药业,18,制造业,32.6190,0,0,61.8750,0,0,0,0,0,0,0,58.3129
002648.SZ,卫星化学,18,制造业,10.9537,0,0,21.8259,0,0,0,0,0,0,0,52.6747
002668.SZ,奥马电器,18,制造业,16.4160,0.3900,66.2876,21.8040,72.9706,3.6997,97.8521,1.0469,0.5629,0.8538,138.5324,56.1156
002672.SZ,东江环保,18,制造业,-54.0568,-0.5700,-11.5877,19.7156,59.1962,2.4508,49.9089,0.8752,0.1801,0.6874,-464.9175,55.4759
002701.SZ,奥瑞金,18,制造业,20.7254,0,0,12.4541,0,0,0,0,0,0,0,57.3121
002714.SZ,牧原股份,18,农、林、牧、渔业,-925.6888,0,0,6.2555,0,0,0,0,0,0,0,56.8851
002761.SZ,浙江建投,18,建筑业,19.5354,0,0,5.1597,0,0,0,0,0,0,0,0
002807.SZ,江阴银行,18,金融业,5.9826,0.7440,11.8389,0,91.4575,11.7062,0,0,0,0,25.8533,0
002831.SZ,裕同科技,18,制造业,22.4814,0,0,22.3550,0,0,0,0,0,0,0,0
002839.SZ,张家港行,18,金融业,6.2619,0.7300,11.2216,0,91.6144,11.9252,0,0,0,0,27.0885,0
002911.SZ,佛燃能源,18,电力、热力、燃气及水生产和供应业,18.7239,0.6600,13.2474,9.4948,56.5350,2.3007,59.0112,0.7252,0.3034,0.5956,0.0240,0
002945.SZ,华林证券,18,金融业,80.9011,0.1700,7.3574,0,69.3013,3.2575,0,0,0,0,-3.9392,0
300003.SZ,乐普医疗,18,制造业,26.8598,0,0,60.6708,0,0,0,0,0,0,0,56.9183
300059.SZ,东方财富,18,金融业,28.7628,0.6500,15.5844,65.7874,69.2446,3.2515,91.3087,1.4588,0.9523,1.4588,-0.5082,83.6303
